Date,Open,High,Low,Close,Volume
1999-01-04,6787,7052,6787,6942,0
1999-01-05,6942,7147,6843,7111,0
1999-01-06,7111,7334,7110,7331,0
1999-01-07,7161,7161,6841,6954,0
1999-01-08,6955,7100,6706,6781,0
1999-01-11,6784,6784,6268,6403,0
1999-01-12,6408,6408,5792,5916,0
1999-01-13,5657,5742,5278,5617,0
1999-01-14,5702,5857,5050,5057,0
1999-01-15,5039,6782,4797,6747,0
1999-01-18,6760,7342,6485,7113,0
1999-01-19,7115,7413,7013,7381,0
1999-01-20,7418,7721,7293,7674,0
1999-01-21,7674,7677,7116,7321,0
1999-01-22,7317,7413,7048,7190,0
1999-01-26,7194,7789,7194,7645,0
1999-01-27,7647,7848,7553,7687,0
1999-01-28,7735,7989,7735,7987,0
1999-01-29,8052,8540,8052,8172,0
1999-02-01,8187,8891,8160,8891,0
1999-02-02,8886,8912,8510,8732,0
1999-02-03,8828,8898,8586,8676,0
1999-02-04,8682,8715,8416,8653,0
1999-02-05,8654,8654,8309,8435,0
1999-02-08,8435,8828,8321,8824,0
1999-02-09,8841,8975,8656,8674,0
1999-02-10,8660,8853,8565,8853,0
1999-02-11,8862,9116,8860,8990,0
1999-02-12,8991,8996,8839,8952,0
1999-02-17,8952,9091,8928,8974,0
1999-02-18,8976,9023,8830,8861,0
1999-02-19,8861,9013,8760,9013,0
1999-02-22,9013,9143,8960,9075,0
1999-02-23,9075,9267,8931,8943,0
1999-02-24,8942,9005,8823,8953,0
1999-02-25,8955,8999,8603,8674,0
1999-02-26,8675,8911,8670,8911,0
1999-03-01,8912,9198,8912,9198,0
1999-03-02,9200,9205,9052,9071,0
1999-03-03,9071,9360,9008,9155,0
1999-03-04,9155,9508,9155,9508,0
1999-03-05,9509,9717,9434,9465,0
1999-03-08,9465,9786,9461,9786,0
1999-03-09,9786,9802,9459,9484,0
1999-03-10,9485,9817,9485,9778,0
1999-03-11,9781,10080,9686,9698,0
1999-03-12,9694,9755,9470,9574,0
1999-03-15,9626,10414,9587,10414,0
1999-03-16,10414,10731,10346,10658,0
1999-03-17,10658,10726,10493,10635,0
1999-03-18,10635,10977,10586,10894,0
1999-03-19,10897,11101,10787,10836,0
1999-03-22,10836,10836,10466,10527,0
1999-03-23,10526,10835,10324,10417,0
1999-03-24,10416,10588,10350,10429,0
1999-03-25,10449,10995,10449,10937,0
1999-03-26,10937,11029,10802,10865,0
1999-03-29,10866,10966,10751,10869,0
1999-03-30,10869,11075,10859,11028,0
1999-03-31,11029,11060,10660,10696,0
1999-04-05,10697,11022,10680,11022,0
1999-04-06,11022,11331,11022,11120,0
1999-04-07,11165,11530,11165,11530,0
1999-04-08,11530,11827,11261,11466,0
1999-04-09,11473,11616,11257,11295,0
1999-04-12,11208,11459,11007,11432,0
1999-04-13,11432,11601,11194,11321,0
1999-04-14,11219,11398,11144,11306,0
1999-04-15,11306,11369,11141,11246,0
1999-04-16,11252,11558,11252,11429,0
1999-04-19,11533,11746,11068,11197,0
1999-04-20,11194,11194,10735,10989,0
1999-04-22,11004,11304,10966,11084,0
1999-04-23,11087,11132,10984,11032,0
1999-04-26,11042,11164,10798,10798,0
1999-04-27,10808,10969,10676,10885,0
1999-04-28,10882,11155,10860,11127,0
1999-04-29,11148,11296,11015,11085,0
1999-04-30,11065,11464,11065,11351,0
1999-05-03,11351,11465,11214,11437,0
1999-05-04,11439,11472,11101,11268,0
1999-05-05,11267,11588,11222,11578,0
1999-05-06,11587,11918,11546,11889,0
1999-05-07,11890,12233,11824,12233,0
1999-05-10,12234,12530,12119,12412,0
1999-05-11,12383,12473,12224,12267,0
1999-05-12,12268,12268,11988,12148,0
1999-05-13,12148,12589,12148,12459,0
1999-05-14,12399,12407,12212,12335,0
1999-05-17,12331,12338,11973,12151,0
1999-05-18,12152,12354,12101,12268,0
1999-05-19,12286,12350,12008,12118,0
1999-05-20,12116,12243,11995,12088,0
1999-05-21,12088,12092,11646,11728,0
1999-05-24,11727,11840,11104,11155,0
1999-05-25,11151,11151,10563,10602,0
1999-05-26,10610,11245,10610,11245,0
1999-05-27,11256,11284,10875,10937,0
1999-05-28,10941,11007,10843,10930,0
1999-05-31,10932,11106,10794,11090,0
1999-06-01,11090,11090,10742,11051,0
1999-06-02,11052,11101,10748,10997,0
1999-06-04,10998,11296,10993,11234,0
1999-06-07,11234,11308,11045,11047,0
1999-06-08,11052,11227,10980,11033,0
1999-06-09,11043,11156,10890,10890,0
1999-06-10,10858,11128,10800,11089,0
1999-06-11,11140,11292,11061,11105,0
1999-06-14,11108,11260,11040,11084,0
1999-06-15,11084,11240,10666,11183,0
1999-06-16,11192,11677,11192,11644,0
1999-06-17,11642,11820,11476,11629,0
1999-06-18,11629,11903,11548,11877,0
1999-06-21,11895,12010,11632,12005,0
1999-06-22,12007,12118,11931,11974,0
1999-06-23,11976,11976,11752,11792,0
1999-06-24,11792,11806,11404,11431,0
1999-06-25,11427,11525,11146,11220,0
1999-06-28,11222,11382,11201,11264,0
1999-06-29,11264,11442,11254,11379,0
1999-06-30,11380,11683,11190,11627,0
1999-07-01,11634,11815,11596,11708,0
1999-07-02,11706,11861,11674,11836,0
1999-07-05,11834,11996,11834,11936,0
1999-07-06,11930,11937,11642,11674,0
1999-07-07,11671,11753,11617,11745,0
1999-07-08,11745,11745,11429,11509,0
1999-07-12,11509,11590,11138,11273,0
1999-07-13,11268,11312,10860,11303,0
1999-07-14,11311,11461,11274,11349,0
1999-07-15,11382,11476,11348,11362,0
1999-07-16,11356,11413,11247,11407,0
1999-07-19,11410,11483,11364,11452,0
1999-07-20,11453,11465,11235,11274,0
1999-07-21,11274,11362,11215,11303,0
1999-07-22,11307,11329,11197,11239,0
1999-07-23,11240,11261,10975,10989,0
1999-07-26,10989,10990,10645,10675,0
1999-07-27,10675,10850,10675,10735,0
1999-07-28,10747,10867,10684,10691,0
1999-07-29,10712,10721,10345,10568,0
1999-07-30,10565,10629,10379,10442,0
1999-08-02,10441,10566,10209,10211,0
1999-08-03,10210,10326,10111,10265,0
1999-08-04,10271,10310,10125,10172,0
1999-08-05,10124,10197,9950,10196,0
1999-08-06,10197,10265,10001,10039,0
1999-08-09,10040,10055,9919,9948,0
1999-08-10,9948,9948,9584,9835,0
1999-08-11,9836,10150,9836,10137,0
1999-08-12,10143,10317,10030,10046,0
1999-08-13,10048,10186,10048,10181,0
1999-08-16,10181,10202,10070,10119,0
1999-08-17,10157,10192,9925,9925,0
1999-08-18,9922,9922,9593,9689,0
1999-08-19,9688,9920,9579,9818,0
1999-08-20,9819,10145,9819,10143,0
1999-08-23,10142,10213,10078,10181,0
1999-08-24,10181,10361,10126,10314,0
1999-08-25,10318,10679,10318,10650,0
1999-08-26,10700,10726,10496,10496,0
1999-08-27,10497,10627,10475,10545,0
1999-08-30,10547,10676,10489,10524,0
1999-08-31,10525,10610,10376,10565,0
1999-09-01,10583,10902,10583,10902,0
1999-09-02,10845,11033,10754,10998,0
1999-09-03,11025,11254,11025,11156,0
1999-09-06,11158,11190,11113,11185,0
1999-09-08,11185,11185,11003,11090,0
1999-09-09,11088,11305,11088,11292,0
1999-09-10,11298,11435,11298,11363,0
1999-09-13,11363,11505,11313,11478,0
1999-09-14,11477,11594,11365,11459,0
1999-09-15,11465,11502,11213,11263,0
1999-09-16,11264,11288,11048,11094,0
1999-09-17,11096,11345,11096,11290,0
1999-09-20,11293,11586,11293,11586,0
1999-09-21,11588,11594,11400,11449,0
1999-09-22,11448,11555,11394,11531,0
1999-09-23,11531,11735,11368,11385,0
1999-09-24,11382,11533,11289,11533,0
1999-09-27,11580,11632,11502,11542,0
1999-09-28,11541,11541,11315,11442,0
1999-09-29,11443,11553,11401,11434,0
1999-09-30,11435,11581,11106,11106,0
1999-10-01,11105,11105,10796,10960,0
1999-10-04,10979,11080,10961,11055,0
1999-10-05,11051,11064,10856,10924,0
1999-10-06,10927,11357,10927,11345,0
1999-10-07,11349,11469,11103,11338,0
1999-10-08,11338,11460,11185,11460,0
1999-10-11,11473,11536,11449,11478,0
1999-10-13,11466,11466,11247,11298,0
1999-10-14,11301,11383,11301,11330,0
1999-10-15,11307,11307,11120,11146,0
1999-10-18,11146,11152,10901,10978,0
1999-10-19,10982,11216,10982,11098,0
1999-10-20,11108,11283,11108,11275,0
1999-10-21,11281,11282,11162,11254,0
1999-10-22,11259,11498,11259,11461,0
1999-10-25,11459,11483,11336,11394,0
1999-10-26,11399,11541,11398,11470,0
1999-10-27,11470,11540,11452,11531,0
1999-10-28,11585,11720,11582,11700,0
1999-10-29,11717,11826,11678,11700,0
1999-11-01,11701,11767,11685,11763,0
1999-11-03,11763,12347,11763,12347,0
1999-11-04,12346,12651,12341,12406,0
1999-11-05,12409,12737,12359,12714,0
1999-11-08,12700,12968,12519,12960,0
1999-11-09,12972,13070,12847,12880,0
1999-11-10,12876,13150,12814,13101,0
1999-11-11,13101,13281,12985,13189,0
1999-11-12,13189,13294,13049,13114,0
1999-11-16,13122,13208,13083,13128,0
1999-11-17,13132,13132,12736,12813,0
1999-11-18,12813,13123,12726,13087,0
1999-11-19,13090,13509,13090,13463,0
1999-11-22,13466,13660,13312,13436,0
1999-11-23,13445,13694,13351,13565,0
1999-11-24,13570,13630,13366,13393,0
1999-11-25,13385,13568,13321,13536,0
1999-11-26,13538,14007,13538,13888,0
1999-11-29,13903,14054,13785,13855,0
1999-11-30,13857,13857,13659,13779,0
1999-12-01,13784,13875,13556,13874,0
1999-12-02,13890,14273,13884,14213,0
1999-12-03,14225,14573,14193,14409,0
1999-12-06,14415,14543,14306,14344,0
1999-12-07,14344,14509,14262,14300,0
1999-12-08,14302,14410,14196,14410,0
1999-12-09,14420,14738,14420,14584,0
1999-12-10,14596,14785,14596,14784,0
1999-12-13,14785,14977,14693,14812,0
1999-12-14,14821,14893,14587,14644,0
1999-12-15,14654,14654,14322,14322,0
1999-12-16,14327,14681,14327,14497,0
1999-12-17,14524,14793,14524,14789,0
1999-12-20,14803,15178,14781,15110,0
1999-12-21,15112,15592,15112,15592,0
1999-12-22,15606,15916,15401,15916,0
1999-12-23,15926,16000,15749,15954,0
1999-12-27,15956,16120,15880,16011,0
1999-12-28,16017,16399,15969,16377,0
1999-12-29,16391,16812,16363,16773,0
1999-12-30,16778,17105,16778,17092,0
2000-01-03,17098,17408,16719,16930,0
2000-01-04,16908,16908,15851,15851,0
2000-01-05,15871,16302,15350,16245,0
2000-01-06,16237,16499,15977,16107,0
2000-01-07,16125,16449,16125,16309,0
2000-01-10,16325,17057,16325,17022,0
2000-01-11,17045,17197,16573,16573,0
2000-01-12,16574,16724,16331,16617,0
2000-01-13,16663,17715,16663,17298,0
2000-01-14,17306,17800,17306,17658,0
2000-01-17,17678,18099,17678,18053,0
2000-01-18,18062,18062,17625,17903,0
2000-01-19,17905,18075,17470,17470,0
2000-01-20,17487,17622,17029,17177,0
2000-01-21,17188,17372,16901,17034,0
2000-01-24,17049,17263,16972,16972,0
2000-01-26,16972,17105,16727,17105,0
2000-01-27,17114,17422,17081,17081,0
2000-01-28,17150,17252,16547,16734,0
2000-01-31,16744,16749,16167,16388,0
2000-02-01,16389,16675,16389,16522,0
2000-02-02,16546,16875,16546,16868,0
2000-02-03,16892,17457,16892,17457,0
2000-02-04,17471,17962,17471,17932,0
2000-02-07,17937,18126,17746,18126,0
2000-02-08,18249,18729,18249,18686,0
2000-02-09,18759,18886,18224,18361,0
2000-02-10,18367,18672,18155,18604,0
2000-02-11,18635,18775,18027,18083,0
2000-02-14,18083,18264,17746,17819,0
2000-02-15,17818,17932,17451,17921,0
2000-02-16,17921,18247,17743,18112,0
2000-02-17,18116,18297,17979,17979,0
2000-02-18,17979,18008,17489,17625,0
2000-02-21,17626,17887,17364,17700,0
2000-02-22,17698,17913,17466,17489,0
2000-02-23,17489,17855,17479,17833,0
2000-02-24,17846,18119,17706,17776,0
2000-02-25,17784,17988,17758,17787,0
2000-02-28,17787,17787,17383,17543,0
2000-02-29,17545,17818,17545,17660,0
2000-03-01,17668,17953,17655,17953,0
2000-03-02,17966,18154,17809,18016,0
2000-03-03,18016,18632,18016,18632,0
2000-03-08,18617,18617,18184,18283,0
2000-03-09,18285,18650,18285,18650,0
2000-03-10,18650,18720,18233,18280,0
2000-03-13,18279,18279,17506,17595,0
2000-03-14,17595,17941,17222,17222,0
2000-03-15,17229,17469,16922,17382,0
2000-03-16,17397,17661,17397,17642,0
2000-03-17,17654,17733,17470,17511,0
2000-03-20,17511,17733,17435,17526,0
2000-03-21,17528,18343,17510,18343,0
2000-03-22,18346,18860,18314,18314,0
2000-03-23,18314,18644,18183,18331,0
2000-03-24,18332,18692,18332,18675,0
2000-03-27,18675,19047,18533,18951,0
2000-03-28,18952,18960,18335,18338,0
2000-03-29,18339,18575,17973,18053,0
2000-03-30,18053,18053,17455,17647,0
2000-03-31,17660,17950,17560,17820,0
2000-04-03,17825.98,17825.98,17173.32,17245.47,0
2000-04-04,17253.08,17450.44,16095.42,16757.93,0
2000-04-05,16762.08,17042.75,16229.74,16714.37,0
2000-04-06,16718.73,17152.22,16718.73,17146.13,0
2000-04-07,17149.7,17513.72,17149.7,17513.72,0
2000-04-10,17519.11,17571.85,16781.98,16783.32,0
2000-04-11,16786.96,16867.15,16309.33,16539.35,0
2000-04-12,16542.26,16785.14,16310.61,16323.36,0
2000-04-13,16325.3,16605.14,15500.81,15500.81,0
2000-04-14,15500.81,15500.81,14596.35,14794.34,0
2000-04-17,14761.33,14820.62,14029.35,14815.68,0
2000-04-18,14817.05,15468.85,14767,15408.4,0
2000-04-19,15437.87,15535.94,14849.52,14926.15,0
2000-04-20,14938.19,15203.62,14938.19,15203.21,0
2000-04-24,15204.35,15225.03,14624.91,14794.23,0
2000-04-25,14798.03,15402.92,14798.03,15400.58,0
2000-04-26,15401.24,15517.33,15267.86,15446.36,0
2000-04-27,15446.14,15487.05,14835.42,15440.11,0
2000-04-28,15450.3,15906.75,15450.3,15537.6,0
2000-05-02,15596.23,15944.15,15523.07,15524.13,0
2000-05-03,15525.46,15525.46,14980.41,15108.56,0
2000-05-04,15111.23,15143.62,14872.83,14969.59,0
2000-05-05,14966.92,15217.86,14811.03,15217.86,0
2000-05-08,15219.55,15223.25,14867.18,14890.96,0
2000-05-09,14897.3,15041.02,14411.67,14581.52,0
2000-05-10,14569.86,14586.3,14238.04,14433.81,0
2000-05-11,14447.15,14723.18,14397.64,14498.54,0
2000-05-12,14495.87,14638.18,14350.13,14458.94,0
2000-05-15,14469.49,15069.81,14397.33,15055.53,0
2000-05-16,15074.13,15445.35,15074.13,15360.4,0
2000-05-17,15360.9,15360.9,14855.98,14870.53,0
2000-05-18,14876,14973,14620,14627,0
2000-05-19,14594.22,14618.5,13920.29,14326.63,0
2000-05-22,14329.6,14368.97,13583.3,13891.24,0
2000-05-23,13891.24,14145.32,13582.57,13587.16,0
2000-05-24,13591.97,14197,13555.61,14166.4,0
2000-05-25,14187.32,14499.4,14026.92,14185.61,0
2000-05-26,14204.41,14548.97,14172.26,14542.26,0
2000-05-29,14540.54,14857.96,14540.54,14772.63,0
2000-05-30,14815.26,15307.98,14815.26,15248.55,0
2000-05-31,15251.23,15328.09,14930.86,14956.61,0
2000-06-01,14967.34,15472.65,14967.34,15450.04,0
2000-06-02,15518.38,16260.81,15518.38,16222.48,0
2000-06-05,16222.14,16312.35,15974.95,16022.93,0
2000-06-06,16017.85,16172.54,15826.79,15946.63,0
2000-06-07,15954.68,16277.74,15709.32,16271.74,0
2000-06-08,16285.51,16640.41,16226.59,16398.8,0
2000-06-09,16420.57,16560.69,16200.36,16342.28,0
2000-06-12,16351,16364.85,16084.07,16096.7,0
2000-06-13,16099.76,16359.55,16074.57,16354.47,0
2000-06-14,16365.34,16523.35,16135.02,16366.1,0
2000-06-15,16369.01,16629.82,16325.05,16561.37,0
2000-06-16,16566.8,16598.49,16378.53,16424.93,0
2000-06-19,16423.06,16862.85,16411.34,16850.03,0
2000-06-20,16854.38,16951.77,16707.81,16843.58,0
2000-06-21,16853.82,17396.45,16833.53,17254.26,0
2000-06-23,17205.47,17265.55,16909.68,16977.26,0
2000-06-26,16977.26,17019.22,16685.5,16744.8,0
2000-06-27,16743.64,16780.06,16388.35,16512.93,0
2000-06-28,16532.85,17101.33,16493.59,16842.29,0
2000-06-29,16830.06,16850.06,16328.56,16407.16,0
2000-06-30,16404.45,16836.47,16399.63,16727.95,0
2000-07-03,16746.74,17098.63,16743.3,17088.54,0
2000-07-04,17105.53,17340.03,17088.11,17279.21,0
2000-07-05,17284.57,17361.95,17086.21,17134.93,0
2000-07-06,17147.89,17366.33,17024.2,17348.07,0
2000-07-07,17351.7,17754.21,17351.7,17598.83,0
2000-07-10,17619.72,17794.67,17443.7,17471.63,0
2000-07-11,17473.25,17473.25,16827.09,16880.66,0
2000-07-12,16892.59,17175.5,16692.86,17053.38,0
2000-07-13,17057.05,17382.86,16415.56,16444.25,0
2000-07-14,16438.72,16884.81,16389.99,16880.95,0
2000-07-17,16890.06,17394.79,16890.06,17387.88,0
2000-07-18,17379.25,17565.96,17280.69,17368.59,0
2000-07-19,17354.48,17357.77,16868.25,16927.55,0
2000-07-20,16950.57,17352.54,16950.57,17203.62,0
2000-07-21,17207.33,17364.66,17071.11,17318.24,0
2000-07-24,17314.2,17588.15,17314.2,17385.98,0
2000-07-25,17390.09,17530.19,17046.29,17049.42,0
2000-07-26,17049.42,17211.48,16839.84,17121.3,0
2000-07-27,17121.42,17225,16923.04,16948.73,0
2000-07-28,16948.73,17038.64,16448.37,16485.69,0
2000-07-31,16486.68,16713.15,16454.6,16454.6,0
2000-08-01,16475,16591.17,16143.92,16289.87,0
2000-08-02,16284.2,16534.7,16120.77,16314.47,0
2000-08-03,16247.71,16761.29,16072.74,16720.76,0
2000-08-04,16726.7,16907.21,16715.77,16761.25,0
2000-08-07,16771.63,17014.05,16768.6,16995.8,0
2000-08-08,17005.49,17061.82,16857.72,16884.77,0
2000-08-09,16894.18,16976.78,16510.69,16533.67,0
2000-08-10,16518.53,17023.46,16501.33,16834.8,0
2000-08-11,16846.29,17395,16705.18,17395,0
2000-08-14,17401.79,17925.75,17333.89,17810.63,0
2000-08-15,17810.76,17909.82,17689.57,17744.13,0
2000-08-16,17741.18,17770.97,17275.14,17330.77,0
2000-08-17,17326.13,17857.59,17321.12,17711.67,0
2000-08-18,17702.52,17780.11,17257.73,17313.69,0
2000-08-21,17317.22,17420.39,17066.18,17083.38,0
2000-08-22,17086.26,17427.89,17086.26,17224.43,0
2000-08-23,17252.6,17455.38,17137.03,17450.44,0
2000-08-24,17454.47,17454.47,17186.58,17310.96,0
2000-08-25,17315.6,17667.71,17315.6,17642.67,0
2000-08-28,17657.07,17685.6,17380.29,17460.33,0
2000-08-29,17453.88,17490.32,17235.04,17354.89,0
2000-08-30,17358.65,17563.18,17309.21,17414.28,0
2000-08-31,17416.78,17562.77,17327.41,17346.7,0
2000-09-01,17359.71,17577.42,17359.71,17577.42,0
2000-09-04,17577.42,17715.8,17569.45,17613.17,0
2000-09-05,17613.76,17639.33,17416.53,17424.97,0
2000-09-06,17441.75,17647.54,17441.75,17589.66,0
2000-09-08,17594.43,17691.87,17428.02,17433.17,0
2000-09-11,17442.54,17474.57,17236.45,17287.65,0
2000-09-12,17285.15,17303.66,16882.69,16882.69,0
2000-09-13,16888.36,17092.12,16877.24,16998.51,0
2000-09-14,17031.74,17108,16730.54,16768.53,0
2000-09-15,16770.61,16770.61,16515.07,16563.18,0
2000-09-18,16562.24,16608.69,15913.13,15913.13,0
2000-09-19,15922.98,16189.16,15823.64,16188.45,0
2000-09-20,16195.66,16215.9,15812.85,16077.7,0
2000-09-21,16065.31,16171.92,15946.03,16146.02,0
2000-09-22,16092.66,16425.89,15705.22,16353.09,0
2000-09-25,16361.45,16520.73,16317.79,16318.55,0
2000-09-26,16318.61,16467.89,16195.89,16254.93,0
2000-09-27,16289.27,16403.97,15745.48,15848.12,0
2000-09-28,15849.08,16040.57,15656.58,16013.69,0
2000-09-29,16019.8,16135.47,15821.28,15928.39,0
2000-10-02,15949.78,16090.24,15536.96,15559.3,0
2000-10-03,15561.99,15917.28,15561.99,15633.27,0
2000-10-04,15652.66,15882.98,15651.14,15876.39,0
2000-10-05,15876.39,16398.21,15876.39,16362.05,0
2000-10-06,16370.23,16403.82,15816.87,15945.91,0
2000-10-09,15946.4,15975.45,15617.15,15855.31,0
2000-10-10,15845.94,16008,15725.7,15747.09,0
2000-10-11,15737.72,15737.72,15463.02,15526.05,0
2000-10-13,15440.52,15440.52,15067.08,15385.08,0
2000-10-16,15386.61,15584.67,15214.21,15241.85,0
2000-10-17,15266.83,15386.17,14840.78,14870.13,0
2000-10-18,14836.7,14836.7,14218.37,14420.72,0
2000-10-19,14489.97,14869.09,14489.97,14845.14,0
2000-10-20,14845.55,14917.79,14490.26,14529.41,0
2000-10-23,14533.02,14535.44,13982.36,13989.84,0
2000-10-24,14013.71,14160.72,13672.05,13799.19,0
2000-10-25,13795.78,13927.48,13570.68,13665.31,0
2000-10-26,13704.87,14223.13,13679.44,14223.13,0
2000-10-27,14250.65,14699.96,14250.65,14691.68,0
2000-10-30,14707.45,14950.76,14488.9,14891.14,0
2000-10-31,14915.65,15099.22,14859.22,14867.23,0
2000-11-01,14857.88,14859.29,14570.97,14791.19,0
2000-11-03,14785.41,14925.07,14424.68,14533.96,0
2000-11-06,14533.96,14868.33,14478.36,14800.91,0
2000-11-07,14780.24,15028.75,14542.62,14968.75,0
2000-11-08,14981.88,15191.43,14649.58,14656.3,0
2000-11-09,14667.43,14781.9,14408.88,14524.38,0
2000-11-10,14541.5,14700.85,14449.22,14625.95,0
2000-11-13,14606.19,14609.49,14199,14371.81,0
2000-11-14,14395.29,14632.1,14395.29,14540.27,0
2000-11-16,14546.23,14574.87,14418.69,14489.96,0
2000-11-17,14479.13,14569.67,14090.89,14323.22,0
2000-11-20,14323.22,14534.64,14103.08,14499.8,0
2000-11-21,14497.28,14844.78,14486.87,14783.73,0
2000-11-22,14766.45,14766.45,14554.92,14576.98,0
2000-11-23,14578.57,14603.7,14187.39,14314.45,0
2000-11-24,14315.56,14412.85,14102.48,14335.5,0
2000-11-27,14339.98,14494.7,13940.95,14008.2,0
2000-11-28,14011.14,14011.14,13756.47,13913.85,0
2000-11-29,13920.57,14074.17,13781.9,13787.52,0
2000-11-30,13779.45,13779.45,13287.39,13287.39,0
2000-12-01,13303.4,13517.08,13281.92,13437.49,0
2000-12-04,13396.31,13538.23,13241.57,13510,0
2000-12-05,13512.82,14187.98,13512.82,14181.62,0
2000-12-06,14180.38,14276.76,13945.41,13945.41,0
2000-12-07,13946.73,14459.98,13918.39,14459.98,0
2000-12-08,14462.01,15062.31,14460.84,14982.99,0
2000-12-11,14991.36,15354.53,14991.36,15187.95,0
2000-12-12,15185.59,15186.39,14869.37,14906.02,0
2000-12-13,14915.68,15388.65,14900.37,15290.51,0
2000-12-14,15261.47,15328.69,15079.53,15259,0
2000-12-15,15252.96,15252.96,14833.29,14987.95,0
2000-12-18,15001.83,15282.18,14892.84,15082.75,0
2000-12-19,15085.45,15415.17,15084.65,15336.11,0
2000-12-20,15305.63,15327.62,14617.66,14622.41,0
2000-12-21,14726.8,14957.59,14461.04,14505.45,0
2000-12-22,14532.66,14801.79,14532.4,14652.06,0
2000-12-26,14663.29,14850.53,14659.28,14794.58,0
2000-12-27,14804.5,15222.92,14804.5,15186.15,0
2000-12-28,15188.21,15269.3,15132.06,15259.29,0
2001-01-02,15242.11,15621.41,15173.61,15425.34,0
2001-01-03,15425.41,16599.42,15251.12,16599.42,0
2001-01-04,16596.78,16933.39,16586.85,16675.06,0
2001-01-05,16678.61,16887.72,16379.67,16409.81,0
2001-01-08,16397.8,16622.75,16225.54,16562.14,0
2001-01-09,16566.22,17096.04,16566.22,16975.64,0
